years_of_experience,rating,completion_rate,total_trips,completed_trips,region_familiarity,on_time_delivery_rate,avg_speed_kmh,accidents_last_3_years,license_type,night_shift_capable,last_medical_check_months,training_courses_completed,avg_trip_distance_km,score
3,3.2,0.722,75,54,1,0.727,54.4,1,B,1,21,1,112.3,63.85
11,4.2,0.921,230,211,1,0.971,63.6,1,C,1,1,8,159,89.27
7,3.9,0.908,171,155,1,0.789,92.7,0,B,1,4,5,137.3,83.9
5,3.9,0.9,160,144,1,0.841,69.4,3,B,1,10,4,92.7,75.39
1,3.7,0.81,47,38,1,0.689,74.1,3,A,0,26,1,43.8,51.61
1,3,0.827,80,66,0,0.8,77,1,B,1,3,2,79,47.38
0,3.8,0.765,45,34,1,0.657,65.6,2,B,1,9,1,54.2,49.14
9,4.2,0.877,172,150,1,0.951,74,0,B,1,32,6,136.8,88.21
6,3.9,0.996,187,186,1,0.882,69.7,2,C,1,3,6,113.4,85.85
7,3.7,0.917,168,154,0,0.786,94.8,2,B,1,4,5,133.7,69.03
0,2.2,0.721,10,7,0,0.647,58.3,3,A,0,6,0,75.7,28.27
11,4.9,0.843,247,208,1,0.97,83.6,0,B,1,9,7,76.4,93.67
8,4.4,0.866,223,193,1,0.92,85.1,0,C,1,26,6,154.4,91.55
2,3.3,0.867,54,46,1,0.706,71,2,A,1,2,3,99.9,60.58
2,3.5,0.81,106,85,0,0.833,81,4,B,0,2,2,124.8,54.5
2,3.6,0.696,80,55,1,0.719,63.4,0,C,1,21,3,89.6,65.27
3,2.9,0.812,61,49,0,0.817,77.6,2,A,1,22,3,136.5,44.05
5,3.6,0.848,118,100,0,0.76,51,3,B,0,3,4,115.4,57.29
4,4,0.714,95,67,1,0.739,87.2,2,C,1,35,5,122.2,62.83
2,2.9,0.808,58,46,0,0.775,81.5,1,A,0,33,4,68.5,39.72
6,4,0.811,176,142,0,0.812,70.3,1,C,0,15,6,162.1,70.88
1,2.8,0.702,57,40,0,0.558,71.8,1,B,1,11,3,127,40.27
2,3.6,0.887,102,90,1,0.768,78.7,0,C,0,10,1,152.5,68.64
3,3.5,0.768,59,45,1,0.662,57,1,C,0,14,2,87.7,63.73
4,3,0.801,101,80,1,0.734,69.3,2,C,0,2,4,127.9,67.2
8,4.6,0.855,193,165,1,0.807,61.3,0,C,1,29,6,100.8,91.27
2,3.1,0.807,89,71,0,0.81,81.7,1,C,0,35,2,39.4,50.83
5,3.5,0.936,110,102,1,0.919,82.4,0,C,0,20,5,136.9,82.89
5,3.9,0.788,113,89,1,0.819,69.1,0,C,1,21,3,116.6,76.7
0,3.7,0.765,27,20,0,0.693,60.2,3,B,0,34,3,41.4,29.78
6,3.5,0.868,137,118,0,0.846,72.2,1,A,1,33,4,133.4,60.61
1,3.3,0.75,38,28,0,0.775,55.7,0,B,0,19,2,116,46.61
0,3.4,0.764,58,44,1,0.605,62.9,2,A,0,8,0,81.9,57
10,4.7,0.946,257,243,1,0.887,67.5,0,B,0,31,8,196.9,91.73
11,4.6,0.892,203,181,1,0.993,92.3,0,B,1,11,6,148.2,91.03
8,4,0.872,190,165,1,0.943,90.6,2,C,1,8,6,176.5,85.22
3,3.2,0.799,77,61,0,0.799,80.8,0,B,0,25,4,92.5,58.52
1,3.4,0.788,56,44,0,0.677,52.2,2,B,1,20,1,124.9,41.02
6,3.5,0.874,167,145,1,0.896,71.5,1,C,0,7,6,89.9,79.27
4,2.5,0.864,94,81,0,0.875,78,4,A,1,13,5,118.9,49.13
1,3.5,0.891,56,49,0,0.796,75.7,1,B,1,10,2,94.9,45.68
4,4,0.702,121,84,0,0.634,48.9,1,C,0,8,5,126.3,59.16
