mileage,vehicle_age_years,condition_rating,capacity,fuel_efficiency_num,distance,required_capacity,capacity_utilization,last_maintenance_days,engine_type,tire_condition,avg_fuel_consumption_per_100km,gps_tracker_installed,ac_working,load_type,breakdown_count_last_year,score
129865,4,7,800,3,297,320,0.4,21,diesel,4,15.8,1,0,standard,0,50.64
35613,1,10,300,2,282,240,0.8,7,diesel,4,13.5,1,1,hazardous,0,88.07
185939,5,7,1000,2,354,573,0.573,106,diesel,2,14.8,0,1,bulk,1,52.89
168560,7,10,800,2,375,644,0.805,164,petrol,3,10.5,1,1,bulk,0,81.31
201635,7,7,800,3,23,737,0.921,5,diesel,2,18.3,0,0,bulk,1,53.77
232586,9,6,300,1,152,225,0.75,37,diesel,4,6.1,1,0,standard,0,65.03
210633,10,6,500,3,27,330,0.66,1,electric,3,17.2,1,1,fragile,1,51.04
68243,3,10,300,2,239,259,0.863,1,petrol,5,12.5,0,1,standard,0,86.11
197226,7,5,1500,2,414,1415,0.943,247,petrol,1,15.2,1,0,refrigerated,0,52.8
254813,10,5,300,1,483,143,0.477,30,petrol,3,7.3,1,1,standard,1,45.79
55968,1,9,500,2,394,393,0.786,96,diesel,4,14,0,0,hazardous,1,82.08
176801,7,8,300,2,156,288,0.96,28,petrol,1,13.6,0,1,bulk,1,56.06
221785,9,4,500,2,295,320,0.64,27,petrol,3,12,1,1,standard,1,51.89
59680,0,10,800,1,393,480,0.6,1,diesel,5,10.8,0,1,bulk,2,82.95
244487,10,6,1500,1,239,961,0.641,69,petrol,1,8.2,0,0,standard,1,51.07
215957,9,4,800,1,124,415,0.519,196,electric,2,11.6,0,1,standard,3,45.7
130716,3,8,1500,2,121,809,0.539,8,diesel,3,14.8,0,1,bulk,0,65.23
192619,8,4,500,1,67,235,0.47,20,diesel,2,9.5,1,1,bulk,1,47.56
140043,5,8,1500,2,119,1242,0.828,29,diesel,3,15.9,1,1,standard,0,78.1
20083,2,10,1000,2,259,788,0.788,73,diesel,4,11.9,1,1,bulk,1,88.89
59955,2,9,800,2,142,734,0.918,61,diesel,4,12.8,1,1,bulk,0,78.83
79125,3,7,500,3,319,357,0.714,61,electric,3,17.7,1,0,bulk,1,78.47
250614,10,6,300,3,64,274,0.913,27,petrol,3,17.6,1,0,standard,0,51.56
47270,1,8,1000,2,381,871,0.871,98,petrol,5,13.8,1,1,standard,1,80.01
229853,9,9,300,1,396,245,0.817,2,diesel,2,9,1,1,standard,1,70.52
238495,10,5,300,2,242,229,0.763,61,petrol,1,10.8,1,1,bulk,0,64.72
228942,9,4,500,2,474,426,0.852,16,diesel,2,14.4,1,0,fragile,3,55.3
249243,9,5,800,2,87,587,0.734,66,diesel,2,14.9,0,1,fragile,1,61.29
62419,2,8,500,1,193,472,0.944,32,petrol,4,9.1,1,1,hazardous,1,81.35
17216,0,10,1000,3,380,722,0.722,90,petrol,5,17.4,1,1,fragile,0,84.12
73994,3,10,800,3,491,581,0.726,8,diesel,5,15.2,1,1,hazardous,0,88.51
160576,6,7,800,3,343,332,0.415,96,diesel,2,20.3,1,1,hazardous,2,46.96
277124,10,7,500,2,235,273,0.546,35,diesel,2,11.1,1,1,bulk,0,62.95
239726,9,5,500,1,339,373,0.746,156,diesel,1,11.2,0,1,bulk,2,55.29
169795,7,7,800,2,263,332,0.415,22,diesel,4,10.8,1,1,bulk,1,57.68
19416,3,5,800,2,289,551,0.689,44,petrol,4,12.3,0,0,bulk,1,62.5
278896,12,6,500,2,21,213,0.426,287,petrol,1,13.3,1,1,bulk,0,38.31
178622,7,6,500,2,143,256,0.512,15,diesel,2,9.8,1,1,bulk,1,62.32
261456,9,5,300,2,183,283,0.943,45,petrol,3,12.3,1,0,standard,1,50.4
140732,5,8,500,2,158,451,0.902,61,electric,4,12.2,1,1,bulk,0,68.93
252073,9,7,300,1,75,279,0.93,68,diesel,2,9.6,0,1,standard,3,51.07
219745,9,4,1000,2,356,432,0.432,276,diesel,1,15.3,0,1,standard,2,36.34
257038,11,5,1500,1,282,1116,0.744,13,petrol,2,9.8,0,0,bulk,2,58.73
114242,5,7,1000,2,458,920,0.92,66,petrol,3,12.2,1,1,standard,0,63.78
11931,0,7,1000,2,263,632,0.632,125,petrol,5,12.6,1,1,standard,2,76.99
221889,9,4,500,1,351,360,0.72,72,diesel,4,9.1,1,0,refrigerated,1,55.57
95432,4,9,800,1,430,548,0.685,14,diesel,5,8.6,1,0,standard,1,80.11
123837,5,8,1000,2,137,584,0.584,23,petrol,4,10.2,1,0,refrigerated,0,71.73
268804,11,6,800,2,51,342,0.428,63,petrol,2,12,1,1,standard,1,44.21
77810,2,5,800,2,475,757,0.946,131,diesel,5,11.6,1,1,standard,0,65.74
88139,4,9,300,2,299,183,0.61,6,diesel,4,11,1,1,refrigerated,2,74.75
114510,3,8,800,3,204,509,0.636,29,diesel,5,17.4,1,0,fragile,0,62.38
267669,11,6,1500,2,357,1265,0.843,131,diesel,2,12.7,0,1,bulk,0,61.06
460,0,10,800,2,203,598,0.748,33,petrol,5,15.7,1,1,bulk,0,89.33
151095,5,7,300,2,86,290,0.967,90,petrol,4,12.1,0,1,standard,1,63.68
11926,0,10,1000,1,407,803,0.803,10,petrol,5,8.5,1,1,standard,0,96.38
227710,8,8,500,1,379,210,0.42,6,diesel,3,9.1,0,1,standard,1,54.33
114823,4,5,1000,2,211,741,0.741,136,electric,2,14.5,1,0,bulk,0,66.63
83952,3,7,300,2,330,129,0.43,40,petrol,4,12.8,1,0,standard,1,54.6
146824,4,9,1000,1,58,517,0.517,90,petrol,3,7.8,0,0,fragile,1,63.73
60555,2,9,500,2,345,276,0.552,137,diesel,4,14.5,1,1,bulk,0,78.86
104329,3,6,1500,2,163,954,0.636,110,diesel,4,11.3,1,1,hazardous,0,67.78
122795,5,7,800,3,86,576,0.72,42,diesel,4,18.2,1,1,standard,0,74.51
109221,3,6,500,2,131,271,0.542,7,diesel,5,13,1,0,bulk,0,66.23
181209,7,5,800,2,451,500,0.625,4,electric,3,13.1,1,1,standard,1,58.92
29564,1,8,300,1,294,180,0.6,18,diesel,4,7.4,1,1,bulk,4,75.45
149734,6,6,1000,2,194,445,0.445,44,petrol,3,11.2,0,1,fragile,1,48.92
105302,2,7,500,2,272,272,0.544,7,petrol,3,15.3,1,1,refrigerated,0,72.78
108291,6,8,1000,1,110,875,0.875,14,diesel,3,11,1,1,standard,0,89.05
228430,6,6,300,2,416,259,0.863,365,diesel,1,11.2,1,1,bulk,1,61.49
45303,0,9,1000,2,193,440,0.44,1,diesel,4,11.8,1,1,hazardous,1,64.67
31466,0,10,800,2,456,372,0.465,179,electric,4,13.2,0,1,refrigerated,0,67.53
75466,4,8,1000,1,366,621,0.621,91,diesel,4,7.3,1,0,standard,0,78.16
267786,10,5,1500,1,492,898,0.599,51,petrol,3,8.8,0,1,bulk,0,56.03
236210,11,4,500,1,362,369,0.738,30,petrol,1,8.7,0,0,standard,0,60.49
41124,0,10,800,3,288,650,0.812,6,petrol,5,18.1,1,1,standard,0,83.09
182045,8,6,300,2,487,209,0.697,33,diesel,4,12.6,1,1,standard,0,64.78
229476,9,7,800,2,324,547,0.684,10,diesel,3,11.1,0,1,standard,1,53.93
23594,1,8,800,3,447,578,0.722,5,diesel,5,18.6,1,0,bulk,0,92.27
165851,7,8,800,2,122,463,0.579,42,diesel,3,13.3,0,0,standard,0,62.32
160980,5,6,500,3,484,354,0.708,6,diesel,4,18,0,1,refrigerated,0,67.05
187862,8,7,800,1,131,718,0.898,26,electric,3,9.7,0,1,standard,0,76.36
184004,5,6,1500,2,181,1169,0.779,29,diesel,2,12.5,1,1,hazardous,0,64.75
176777,7,6,1000,2,177,543,0.543,11,petrol,3,14.7,1,0,standard,0,63.35
34820,2,10,1000,1,267,636,0.636,24,diesel,3,6.9,1,1,fragile,0,87.39
52865,1,8,1000,2,460,936,0.936,98,petrol,5,11.9,1,1,bulk,1,73.92
160801,6,5,800,3,228,459,0.574,4,diesel,3,16.3,1,0,bulk,1,52.18
232893,9,8,800,2,257,489,0.611,236,diesel,2,12.6,1,1,standard,1,57.61
78549,3,10,800,1,160,362,0.452,13,petrol,4,9,1,1,standard,1,74.34
228209,8,6,1000,3,100,836,0.836,37,diesel,2,17.3,0,1,refrigerated,0,57.56
145928,7,7,1000,1,196,615,0.615,57,petrol,3,9.5,0,1,hazardous,0,64.31
13674,0,9,1000,1,476,759,0.759,20,electric,5,10.1,1,1,bulk,0,100
240925,8,6,1000,3,145,716,0.716,72,petrol,1,16.7,1,0,standard,1,52.07
183993,6,8,500,2,29,263,0.526,99,petrol,2,15.4,1,0,fragile,0,61.54
25872,0,10,800,2,89,472,0.59,40,petrol,4,11.5,1,1,fragile,1,76.76
159079,5,7,1000,2,422,547,0.547,8,diesel,3,11.2,0,0,bulk,0,57.31
22336,0,5,300,1,362,293,0.977,4,diesel,4,7.2,0,1,bulk,0,74.22
138675,6,6,1000,1,364,608,0.608,19,petrol,5,9.3,1,1,fragile,0,73.26
108177,4,7,800,2,368,578,0.722,214,petrol,2,14.4,0,1,standard,2,70.85
